Day,Month,Year,Valor COLCAP,Variacion absoluta,Variacion porcentual
15,1,2008,980.21,-19.785,-0.019785
16,1,2008,958.99,-21.2208,-0.021649
17,1,2008,928.38,-30.6136,-0.031923
18,1,2008,903.49,-24.8946,-0.026815
21,1,2008,832.37,-71.1182,-0.078715
22,1,2008,879.67,47.3003,0.056826
23,1,2008,890.89,11.2274,0.012763
24,1,2008,933.79,42.8915,0.048144
25,1,2008,939.61,5.8191,0.006232
28,1,2008,930.97,-8.6329,-0.009188
29,1,2008,946.51,15.5356,0.016688
30,1,2008,936.55,-9.9551,-0.010518
31,1,2008,937.33,0.7744,0.000827
1,2,2008,938.16,0.829,0.000884
4,2,2008,945.18,7.026,0.007489
5,2,2008,920.47,-24.7081,-0.026141
6,2,2008,900.89,-19.5824,-0.021274
7,2,2008,891.3,-9.5879,-0.010643
8,2,2008,906.03,14.7239,0.01652
11,2,2008,920.78,14.7507,0.016281
12,2,2008,915.74,-5.0415,-0.005475
13,2,2008,918.85,3.1117,0.003398
14,2,2008,928.67,9.8208,0.010688
15,2,2008,929.63,0.9634,0.001037
18,2,2008,944.25,14.6143,0.015721
19,2,2008,945.4,1.1516,0.00122
20,2,2008,941.38,-4.0179,-0.00425
21,2,2008,944.38,3.0012,0.003188
22,2,2008,940.05,-4.3284,-0.004583
25,2,2008,938.49,-1.568,-0.001668
26,2,2008,938.58,0.0911,0.000097
27,2,2008,935.15,-3.4251,-0.003649
28,2,2008,931.03,-4.1174,-0.004403
29,2,2008,914.9,-16.1321,-0.017327
3,3,2008,896.73,-18.1718,-0.019862
4,3,2008,859.79,-36.9372,-0.041191
5,3,2008,897.61,37.8202,0.043988
6,3,2008,889.83,-7.7832,-0.008671
7,3,2008,900.79,10.9631,0.01232
10,3,2008,907.83,7.0351,0.00781
11,3,2008,911.72,3.8904,0.004285
12,3,2008,914.89,3.1758,0.003483
13,3,2008,912.74,-2.1495,-0.002349
14,3,2008,902.13,-10.6185,-0.011634
17,3,2008,890.57,-11.5527,-0.012806
18,3,2008,899.67,9.0996,0.010218
19,3,2008,902.56,2.8853,0.003207
25,3,2008,895.08,-7.4769,-0.008284
26,3,2008,891.73,-3.3535,-0.003747
27,3,2008,887.89,-3.8418,-0.004308
28,3,2008,890.03,2.1387,0.002409
31,3,2008,889.28,-0.741,-0.000833
1,4,2008,913.73,24.4485,0.027492
2,4,2008,919.3,5.5659,0.006091
3,4,2008,923.04,3.7388,0.004067
4,4,2008,922,-1.0387,-0.001125
7,4,2008,928.32,6.3246,0.00686
8,4,2008,930.57,2.2494,0.002423
9,4,2008,936.53,5.9531,0.006397
10,4,2008,922.05,-14.4722,-0.015453
11,4,2008,917.73,-4.3244,-0.00469
14,4,2008,917.57,-0.1582,-0.000172
15,4,2008,931.61,14.0425,0.015304
16,4,2008,936.55,4.9324,0.005294
17,4,2008,934.66,-1.8887,-0.002017
18,4,2008,952.82,18.1629,0.019433
21,4,2008,953.25,0.4328,0.000454
22,4,2008,950.97,-2.2817,-0.002394
23,4,2008,942.21,-8.758,-0.00921
24,4,2008,949.52,7.3044,0.007752
25,4,2008,953.07,3.5547,0.003744
28,4,2008,962.4,9.3297,0.009789
29,4,2008,969.11,6.7042,0.006966
30,4,2008,985.95,16.8445,0.017381
2,5,2008,1012.31,26.3561,0.026732
6,5,2008,1032.08,19.7725,0.019532
7,5,2008,1010.96,-21.1159,-0.02046
8,5,2008,1001.24,-9.7242,-0.009619
9,5,2008,1008.49,7.2488,0.00724
12,5,2008,1010.27,1.7836,0.001769
13,5,2008,1015.63,5.3622,0.005308
14,5,2008,1027.74,12.1099,0.011923
15,5,2008,1024.58,-3.1661,-0.003081
16,5,2008,1016.11,-8.4686,-0.008265
19,5,2008,1016.1,-0.0132,-0.000013
20,5,2008,1009.48,-6.6126,-0.006508
21,5,2008,1015.6,6.1207,0.006063
22,5,2008,1008.67,-6.9353,-0.006829
23,5,2008,1003.07,-5.5971,-0.005549
27,5,2008,999.5,-3.5761,-0.003565
28,5,2008,1000.23,0.7301,0.00073
29,5,2008,1010.15,9.9231,0.009921
30,5,2008,1019.78,9.6308,0.009534
